UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_encoded,Product ID_encoded,Failure Type_encoded
72,298.9,309.1,1452,45.5,196,0,1,1040,1
73,298.9,309.1,1369,44.4,198,0,1,1041,1
74,299.0,309.1,1592,35.0,200,0,1,1042,1
75,298.9,309.0,1601,32.3,202,0,1,1043,1
76,298.8,308.9,1379,46.7,204,0,1,1044,1
77,298.8,308.9,1461,47.9,206,0,1,1045,1
78,298.8,308.9,1455,41.3,208,1,1,1046,5
79,298.8,308.9,1398,51.5,0,0,1,1047,1
80,298.8,308.9,1402,37.9,2,0,1,1048,1
81,298.8,308.8,1445,49.9,4,0,0,10,1
82,298.9,308.9,1450,47.5,9,0,1,1049,1
83,298.9,308.9,1453,40.8,11,0,1,1050,1
84,299.0,309.0,1469,40.1,13,0,1,1051,1
85,298.9,308.9,1422,47.6,15,0,1,1052,1
86,299.0,309.0,1804,26.8,17,0,2,7027,1
87,299.0,309.0,1436,43.9,20,0,0,11,1
88,299.0,309.0,1544,31.8,25,0,1,1053,1
89,299.0,309.0,1419,45.2,27,0,2,7028,1
90,298.9,308.9,1487,39.5,30,0,2,7029,1
91,298.9,308.9,1753,25.8,33,0,1,1054,1
92,298.9,308.9,1830,24.9,35,0,1,1055,1
93,298.9,308.9,1727,27.1,37,0,2,7030,1
94,299.1,309.0,1450,43.0,40,0,1,1056,1
95,299.0,308.9,1622,31.9,42,0,1,1057,1
96,299.0,309.0,1351,52.2,44,0,2,7031,1
97,299.0,309.0,1575,35.3,47,0,2,7032,1
98,298.9,308.9,1750,29.9,50,0,2,7033,1
99,298.9,308.8,1529,32.7,53,0,1,1058,1
100,298.8,308.8,1523,44.4,55,0,1,1059,1
101,298.8,308.9,1852,25.0,57,0,1,1060,1
102,298.8,308.8,1991,20.7,59,0,1,1061,1
103,298.8,308.8,1555,40.6,61,0,1,1062,1
104,298.8,308.8,1441,40.5,63,0,2,7034,1
105,298.8,308.7,1450,43.4,66,0,1,1063,1
106,298.8,308.7,1591,31.1,68,0,1,1064,1
107,298.8,308.7,1445,48.5,70,0,1,1065,1
108,298.8,308.8,1497,46.8,72,0,2,7035,1
109,298.9,308.8,1621,32.7,75,0,0,12,1
110,298.9,308.7,1572,34.1,80,0,1,1066,1
111,298.8,308.6,1872,22.5,82,0,1,1067,1
112,298.7,308.6,1499,43.5,84,0,0,13,1
113,298.8,308.7,1498,39.5,89,0,2,7036,1
114,298.8,308.6,1486,41.9,92,0,2,7037,1
115,298.8,308.6,1680,29.4,95,0,1,1068,1
116,298.8,308.6,1431,45.7,97,0,1,1069,1
117,298.9,308.7,1564,34.1,99,0,1,1070,1
118,298.8,308.6,1599,33.0,101,0,1,1071,1
119,298.8,308.6,1707,28.1,103,0,2,7038,1
120,298.7,308.5,1467,40.7,106,0,1,1072,1
121,298.9,308.7,1433,44.7,108,0,1,1073,1
122,298.9,308.7,1558,41.2,110,0,1,1074,1
123,299.0,308.8,1310,50.7,112,0,1,1075,1
124,298.9,308.7,1546,43.4,114,0,1,1076,1
125,298.9,308.7,1727,29.4,116,0,1,1077,1
126,298.9,308.6,1560,32.2,118,0,1,1078,1
127,299.0,308.6,1329,60.5,120,0,1,1079,1
128,298.9,308.6,1413,46.5,122,0,1,1080,1
129,299.0,308.6,1587,38.6,124,0,1,1081,1
130,298.9,308.5,1559,34.3,126,0,1,1082,1
131,298.8,308.4,1473,41.1,128,0,1,1083,1
132,298.8,308.4,1737,27.7,130,0,1,1084,1
133,298.7,308.4,1441,43.2,132,0,2,7039,1
134,298.7,308.4,1430,49.6,135,0,2,7040,1
135,298.8,308.4,1369,53.0,138,0,1,1085,1
136,298.8,308.5,1711,28.5,140,0,2,7041,1
137,298.7,308.5,1420,45.7,143,0,0,14,1
138,298.7,308.6,1297,55.3,148,0,1,1086,1
139,298.8,308.6,1449,49.4,150,0,0,15,1
140,298.8,308.6,1268,55.8,155,0,1,1087,1
141,298.8,308.6,1511,36.1,157,0,1,1088,1
142,298.7,308.5,1544,35.2,159,0,1,1089,1
143,298.6,308.4,1778,28.2,161,0,2,7042,1
144,298.6,308.4,1407,50.5,164,0,0,16,1
145,298.6,308.4,1391,42.4,169,0,2,7043,1
146,298.5,308.4,1513,33.6,172,0,1,1090,1
147,298.5,308.4,1612,36.1,174,0,0,17,1
148,298.4,308.4,1515,40.1,179,0,1,1091,1
149,298.3,308.3,1379,48.0,181,0,2,7044,1
150,298.4,308.3,1473,39.9,184,0,1,1092,1
151,298.4,308.3,1422,42.7,186,0,1,1093,1
152,298.4,308.2,1463,37.6,188,0,2,7045,1
153,298.4,308.2,1584,41.0,191,0,2,7046,1
154,298.4,308.2,1850,27.0,194,0,1,1094,1
155,298.4,308.2,1528,36.2,196,0,1,1095,1
156,298.4,308.2,1987,19.8,198,0,0,18,1
157,298.4,308.1,1495,46.0,203,0,2,7047,1
158,298.4,308.2,1478,43.5,206,0,0,19,1
159,298.4,308.2,1499,40.0,211,0,2,7048,1
160,298.4,308.2,1471,47.0,214,0,1,1096,1
161,298.4,308.2,1282,60.7,216,1,1,1097,2
162,298.3,308.1,1412,52.3,218,1,1,1098,2
163,298.3,308.1,1586,35.5,0,0,1,1099,1
164,298.4,308.2,1468,43.8,2,0,2,7049,1
165,298.5,308.3,1440,43.6,5,0,2,7050,1
166,298.5,308.4,1733,26.0,8,0,1,1100,1
167,298.4,308.2,1612,32.6,10,0,0,20,1
168,298.4,308.3,1458,42.9,15,0,0,21,1
169,298.4,308.3,1433,62.3,20,1,1,1101,3
170,298.4,308.3,1318,59.1,22,0,1,1102,1
171,298.4,308.2,1610,35.0,24,0,2,7051,1
172,298.2,308.1,1462,50.8,27,0,1,1103,1
173,298.1,308.0,1924,20.8,29,0,2,7052,1
174,298.2,308.0,1591,33.7,32,0,2,7053,1
175,298.2,308.1,1306,58.3,35,0,1,1104,1
176,298.2,308.1,1382,43.5,37,0,1,1105,1
177,298.2,308.1,1618,34.7,39,0,1,1106,1
178,298.2,308.2,1988,21.4,41,0,1,1107,1
179,298.2,308.2,1436,50.2,43,0,1,1108,1
180,298.2,308.3,1304,49.8,45,0,1,1109,1
181,298.2,308.3,1475,49.9,47,0,1,1110,1
182,298.2,308.3,1824,24.2,49,0,0,22,1
183,298.1,308.2,1342,48.1,54,0,2,7054,1
184,298.1,308.2,1485,40.7,57,0,1,1111,1
185,298.2,308.2,1667,30.6,59,0,1,1112,1
186,298.2,308.2,1446,38.2,61,0,1,1113,1
187,298.1,308.3,1301,56.0,63,0,1,1114,1
188,298.2,308.4,1379,43.1,65,0,1,1115,1
189,298.3,308.5,1606,33.6,67,0,1,1116,1
190,298.3,308.4,1539,43.4,69,0,2,7055,1
191,298.2,308.4,1477,49.9,72,0,1,1117,1
192,298.2,308.4,1666,34.6,74,0,1,1118,1
193,298.2,308.4,1398,51.8,76,0,0,23,1
194,298.2,308.4,1678,34.6,81,0,0,24,1
195,298.2,308.5,2678,10.7,86,1,2,7056,3
196,298.3,308.5,1453,42.9,89,0,1,1119,1
197,298.3,308.6,1432,49.5,91,0,0,25,1
198,298.4,308.6,1527,40.9,96,0,2,7057,1
199,298.4,308.7,1588,35.0,99,0,1,1120,1
200,298.4,308.6,1433,47.1,101,0,1,1121,1
201,298.4,308.6,1609,35.0,103,0,1,1122,1
202,298.3,308.5,1575,41.2,105,0,1,1123,1
203,298.4,308.5,1636,35.7,107,0,2,7058,1
204,298.4,308.5,1490,37.9,110,0,1,1124,1
205,298.4,308.5,1741,32.8,112,0,1,1125,1
206,298.5,308.6,1344,53.0,114,0,2,7059,1
207,298.5,308.7,1609,35.3,117,0,1,1126,1
208,298.4,308.7,1421,60.7,119,1,2,7060,3
209,298.4,308.6,1591,36.7,122,0,1,1127,1
210,298.4,308.6,1477,44.0,124,0,1,1128,1
211,298.4,308.7,1523,36.1,126,0,1,1129,1
212,298.5,308.7,1575,33.9,128,0,1,1130,1
213,298.4,308.7,1344,52.9,130,0,0,26,1
214,298.4,308.7,1386,44.9,135,0,1,1131,1
215,298.3,308.6,1589,37.1,137,0,2,7061,1
216,298.3,308.6,1548,40.3,140,0,1,1132,1
217,298.3,308.6,1499,38.3,142,0,1,1133,1
218,298.3,308.5,1664,31.6,144,0,1,1134,1
219,298.3,308.6,1447,38.1,146,0,1,1135,1
220,298.3,308.5,1434,46.2,148,0,2,7062,1
221,298.3,308.5,1416,52.7,151,0,1,1136,1
222,298.4,308.5,1827,24.3,153,0,0,27,1
223,298.4,308.6,1304,45.0,158,0,1,1137,1
224,298.4,308.6,1569,34.4,160,0,1,1138,1
225,298.3,308.6,1584,29.3,162,0,1,1139,1
226,298.3,308.5,1362,53.8,164,0,1,1140,1
227,298.3,308.4,1329,49.2,166,0,1,1141,1
228,298.3,308.5,1539,36.1,168,0,1,1142,1
229,298.3,308.5,1629,37.1,170,0,2,7063,1
230,298.3,308.5,1538,32.2,173,0,1,1143,1
231,298.3,308.6,1570,34.8,175,0,1,1144,1
232,298.3,308.4,1408,43.1,177,0,1,1145,1
233,298.2,308.4,1424,47.6,179,0,1,1146,1
234,298.2,308.4,1512,34.9,181,0,1,1147,1
235,298.2,308.4,1478,42.9,183,0,1,1148,1
236,298.1,308.3,1680,33.7,185,0,2,7064,1
237,298.1,308.3,1495,38.7,188,0,1,1149,1
238,298.0,308.1,1552,36.6,190,0,2,7065,1
239,297.9,308.1,1393,50.3,193,0,1,1150,1
240,298.0,308.2,1611,30.6,195,0,1,1151,1
241,298.0,308.1,1339,51.6,197,0,2,7066,1
242,298.0,308.1,1777,24.3,200,0,1,1152,1
243,298.0,308.2,1348,58.8,202,1,1,1153,2
244,298.0,308.2,1442,44.1,204,0,1,1154,1
245,298.0,308.2,1395,49.1,206,0,2,7067,1
246,297.9,308.1,1627,31.4,209,0,2,7068,1
247,297.9,308.1,1585,33.5,212,0,1,1155,1
248,298.0,308.2,1469,45.5,214,0,1,1156,1
249,298.0,308.3,1362,56.8,216,1,1,1157,2
250,298.0,308.3,1405,56.2,218,1,1,1158,2
251,298.0,308.3,1662,32.7,0,0,1,1159,1
252,298.0,308.2,1466,42.6,2,0,2,7069,1
253,298.0,308.2,1620,35.8,5,0,1,1160,1
254,298.0,308.2,1357,48.2,7,0,1,1161,1
255,298.0,308.2,1514,37.9,9,0,1,1162,1
256,298.0,308.2,1489,40.4,11,0,1,1163,1
257,298.1,308.3,1331,63.0,13,0,1,1164,1
258,298.0,308.0,1615,29.5,15,0,1,1165,1
259,298.1,308.2,1482,37.9,17,0,1,1166,1
260,298.1,308.2,1420,63.9,19,1,2,7070,3
261,298.2,308.3,1522,49.1,22,0,2,7071,1
262,298.1,308.2,1654,32.1,25,0,1,1167,1
263,298.1,308.2,1736,26.8,27,0,2,7072,1
264,298.0,308.1,1587,32.3,30,0,2,7073,1
265,298.1,308.2,1390,47.5,33,0,1,1168,1
266,298.0,308.1,1454,37.1,35,0,1,1169,1
267,298.0,308.1,1440,43.7,37,0,0,28,1
268,297.9,308.0,1954,21.1,42,0,1,1170,1
269,297.9,308.0,1800,24.8,44,0,0,29,1
270,298.0,308.0,1524,37.0,49,0,1,1171,1
271,298.0,308.0,1520,39.6,51,0,0,30,1
272,298.1,308.1,1452,40.8,56,0,2,7074,1
273,298.1,308.1,1484,40.4,59,0,1,1172,1
274,298.1,308.0,1426,46.0,61,0,1,1173,1
275,298.1,308.0,1652,28.5,63,0,1,1174,1
276,298.0,308.0,1401,54.7,65,0,1,1175,1
277,298.0,307.9,1750,26.6,67,0,2,7075,1
278,298.0,308.0,1479,50.7,70,0,0,31,1
279,298.0,308.0,1620,29.4,75,0,2,7076,1
280,298.0,308.1,1819,23.4,78,0,1,1176,1
281,298.1,308.1,1456,43.7,80,0,2,7077,1
282,298.1,308.0,1626,36.5,83,0,1,1177,1
283,298.1,308.1,1390,49.8,85,0,2,7078,1
284,298.2,308.2,1469,43.0,88,0,1,1178,1
285,298.2,308.3,2051,19.2,90,0,1,1179,1
286,298.2,308.3,1568,36.0,92,0,1,1180,1
287,298.2,308.3,1589,33.2,94,0,1,1181,1
288,298.2,308.3,1805,31.6,96,0,1,1182,1
289,298.2,308.4,1385,42.2,98,0,0,32,1
290,298.1,308.4,1436,46.7,103,0,1,1183,1
291,298.1,308.4,1438,45.6,105,0,1,1184,1
292,298.0,308.3,1473,42.6,107,0,1,1185,1
293,298.1,308.4,1335,40.2,109,0,1,1186,1
294,298.1,308.5,1392,44.8,111,0,0,33,1
295,298.1,308.5,1372,51.1,116,0,2,7079,1
296,298.1,308.6,1716,30.7,119,0,2,7080,1
297,298.0,308.5,1395,46.2,122,0,1,1187,1
298,298.0,308.5,1713,25.3,124,0,1,1188,1
299,297.9,308.5,2129,18.7,126,0,0,34,1
300,297.8,308.3,1567,35.6,131,0,2,7081,1
301,297.8,308.4,1622,38.3,134,0,1,1189,1
302,297.7,308.4,1740,27.1,136,0,1,1190,1
303,297.8,308.4,1512,35.1,138,0,0,35,1
304,297.8,308.4,1479,43.5,143,0,2,7082,1
305,297.8,308.4,1737,27.5,146,0,1,1191,1
306,297.8,308.4,2129,19.2,148,0,1,1192,1
307,297.8,308.4,1374,47.1,150,0,1,1193,1
308,297.8,308.4,1579,36.6,152,0,2,7083,1
309,297.9,308.5,1305,47.2,155,0,1,1194,1
310,297.9,308.5,1449,40.8,157,0,2,7084,1
311,298.0,308.6,1526,41.8,160,0,0,36,1
312,298.0,308.6,1453,44.1,165,0,2,7085,1
313,297.9,308.6,1468,36.0,168,0,1,1195,1
314,298.0,308.6,1313,50.8,170,0,1,1196,1
315,297.9,308.5,1300,53.0,172,0,2,7086,1
316,297.9,308.4,1646,40.6,175,0,1,1197,1
317,297.8,308.4,1714,33.2,177,0,1,1198,1
318,297.8,308.4,1685,28.4,179,0,1,1199,1
319,297.8,308.4,1512,39.9,181,0,1,1200,1
320,297.8,308.4,1612,32.1,183,0,1,1201,1
321,297.8,308.4,1550,38.2,185,0,0,37,1
322,297.8,308.4,1518,32.5,190,0,1,1202,1
323,297.8,308.5,1448,40.0,192,0,1,1203,1
324,297.8,308.5,1561,46.3,194,0,1,1204,1
325,297.8,308.5,1488,41.9,196,0,2,7087,1
326,297.8,308.5,1699,27.8,199,0,1,1205,1
327,297.7,308.5,1501,41.4,201,0,1,1206,1
328,297.7,308.5,1373,56.7,203,1,1,1207,2
329,297.6,308.4,1703,31.4,205,0,0,38,1
330,297.7,308.5,1720,29.9,210,0,0,39,1
331,297.6,308.4,1398,41.9,215,0,2,7088,1
332,297.6,308.4,1391,51.9,218,0,2,7089,1
333,297.6,308.3,1538,40.2,0,0,2,7090,1
334,297.5,308.2,1647,31.3,3,0,1,1208,1
335,297.5,308.1,1469,44.8,5,0,2,7091,1
336,297.4,308.1,1749,25.9,8,0,1,1209,1
337,297.6,308.2,1995,20.5,10,0,2,7092,1
338,297.6,308.3,1742,27.7,13,0,1,1210,1
339,297.5,308.2,1563,38.2,15,0,1,1211,1
340,297.5,308.2,1713,32.2,17,0,2,7093,1
341,297.4,308.1,1474,39.4,20,0,1,1212,1
342,297.4,308.2,1530,32.6,22,0,2,7094,1
343,297.4,308.2,1471,46.5,25,0,1,1213,1
344,297.5,308.3,1388,48.6,27,0,1,1214,1
345,297.5,308.2,2448,13.8,29,0,2,7095,1
346,297.5,308.3,1585,32.9,32,0,1,1215,1
347,297.5,308.3,1459,45.2,34,0,2,7096,1
348,297.5,308.3,1544,40.8,37,0,1,1216,1
349,297.6,308.3,1617,31.7,39,0,1,1217,1
350,297.6,308.3,1595,34.3,41,0,1,1218,1
351,297.6,308.3,1400,44.3,43,0,0,40,1
352,297.6,308.4,1611,31.0,48,0,2,7097,1
353,297.6,308.4,1507,46.0,51,0,2,7098,1
354,297.5,308.3,1674,30.0,54,0,0,41,1
355,297.6,308.3,1658,34.3,59,0,1,1219,1
356,297.6,308.3,1623,36.9,61,0,1,1220,1
357,297.6,308.4,1398,48.9,63,0,2,7099,1
358,297.6,308.4,1517,34.2,66,0,1,1221,1
359,297.6,308.3,1467,36.7,68,0,2,7100,1
360,297.6,308.3,1567,34.6,71,0,2,7101,1
361,297.5,308.3,1521,38.2,74,0,2,7102,1
362,297.5,308.3,1596,36.8,77,0,1,1222,1
363,297.6,308.3,1640,30.9,79,0,0,42,1
364,297.6,308.3,1438,47.8,84,0,1,1223,1
365,297.6,308.4,1407,55.2,86,0,1,1224,1
366,297.6,308.4,1353,57.5,88,0,1,1225,1
367,297.6,308.5,1552,40.9,90,0,2,7103,1
368,297.6,308.4,1569,38.3,93,0,2,7104,1
369,297.5,308.4,1489,39.5,96,0,1,1226,1
370,297.5,308.4,1587,36.1,98,0,0,43,1
371,297.5,308.3,1622,37.2,103,0,2,7105,1
372,297.5,308.4,1604,38.1,106,0,1,1227,1
373,297.4,308.3,1405,51.7,108,0,2,7106,1
374,297.4,308.3,1412,42.0,111,0,1,1228,1
375,297.4,308.3,1431,43.0,113,0,1,1229,1
376,297.4,308.2,1533,37.4,115,0,1,1230,1
377,297.4,308.2,1401,51.9,117,0,2,7107,1
378,297.4,308.2,1424,53.9,120,0,2,7108,1
379,297.3,308.2,1754,29.4,123,0,1,1231,1
380,297.3,308.2,1754,26.8,125,0,1,1232,1
381,297.5,308.3,2564,12.8,127,1,1,1233,3
382,297.5,308.5,1546,40.4,129,0,1,1234,1
383,297.5,308.5,1335,48.0,131,0,1,1235,1
384,297.5,308.6,1842,27.0,133,0,2,7109,1
385,297.5,308.5,1712,26.8,136,0,1,1236,1
386,297.6,308.6,1414,45.4,138,0,2,7110,1
387,297.6,308.7,1319,50.9,141,0,1,1237,1
388,297.7,308.7,1249,60.4,143,0,1,1238,1
389,297.6,308.7,1455,48.2,145,0,1,1239,1
390,297.6,308.7,1408,54.8,147,0,2,7111,1
391,297.6,308.7,1460,46.7,150,0,1,1240,1
392,297.6,308.6,1491,38.1,152,0,1,1241,1
393,297.6,308.5,1490,43.4,154,0,2,7112,1
394,297.5,308.4,1350,52.2,157,0,2,7113,1
395,297.5,308.4,1528,39.9,160,0,1,1242,1
396,297.4,308.3,1571,37.7,162,0,1,1243,1
397,297.4,308.3,1490,42.6,164,0,1,1244,1
398,297.4,308.3,1774,28.9,166,0,2,7114,1
399,297.4,308.3,1502,43.6,169,0,0,44,1
400,297.4,308.4,1392,49.7,174,0,1,1245,1
401,297.4,308.5,2100,16.9,176,0,1,1246,1
402,297.5,308.5,1722,30.4,178,0,1,1247,1
403,297.4,308.6,1678,32.3,180,0,1,1248,1
404,297.3,308.6,1273,59.8,182,0,1,1249,1
405,297.3,308.6,1297,45.9,184,0,1,1250,1
406,297.3,308.5,1350,57.6,186,0,1,1251,1
407,297.4,308.6,1439,51.9,188,0,1,1252,1
408,297.4,308.5,1600,42.1,190,0,2,7115,1
409,297.4,308.6,1434,44.4,193,0,2,7116,1
410,297.4,308.6,1459,41.3,196,0,1,1253,1
411,297.5,308.6,1472,44.9,198,0,2,7117,1
412,297.5,308.7,1429,44.3,201,0,1,1254,1
413,297.5,308.6,1388,48.2,203,0,1,1255,1
414,297.4,308.4,1573,34.5,205,0,1,1256,1
415,297.4,308.4,1588,32.5,207,0,1,1257,1
416,297.5,308.4,1511,42.8,209,0,1,1258,1
417,297.4,308.5,1495,37.8,211,0,1,1259,1
418,297.4,308.4,1394,50.1,213,0,1,1260,1
419,297.4,308.4,2151,17.7,0,0,1,1261,1
420,297.3,308.3,1501,38.2,2,0,2,7118,1
421,297.3,308.3,1301,39.6,5,0,2,7119,1
422,297.3,308.3,1657,31.1,8,0,2,7120,1
423,297.3,308.3,1333,55.2,11,0,1,1262,1
424,297.3,308.3,1484,43.9,13,0,1,1263,1
425,297.3,308.4,1430,45.7,15,0,1,1264,1
426,297.3,308.4,1665,28.9,17,0,2,7121,1
427,297.4,308.5,1501,44.9,20,0,1,1265,1
428,297.5,308.5,1496,42.2,22,0,2,7122,1
429,297.6,308.6,1595,36.9,25,0,2,7123,1
430,297.5,308.6,1208,62.3,28,0,1,1266,1
431,297.5,308.6,1596,37.1,30,0,1,1267,1
432,297.5,308.5,1446,41.9,32,0,1,1268,1
433,297.6,308.5,1466,39.7,34,0,2,7124,1
434,297.6,308.5,1848,23.7,37,0,2,7125,1
435,297.5,308.5,1484,44.7,40,0,2,7126,1
436,297.4,308.3,1493,41.2,43,0,1,1269,1
437,297.3,308.3,1504,36.3,45,0,1,1270,1
438,297.3,308.3,1538,38.5,47,0,1,1271,1
439,297.4,308.4,1341,52.2,49,0,1,1272,1
440,297.4,308.3,1535,34.6,51,0,2,7127,1
441,297.4,308.5,1389,39.2,54,0,1,1273,1
442,297.5,308.5,1393,46.6,56,0,0,45,1
443,297.4,308.5,1399,61.5,61,1,1,1274,3
444,297.4,308.5,1469,45.1,63,0,0,46,1
445,297.4,308.4,1582,37.2,68,0,1,1275,1
446,297.5,308.6,1793,26.7,70,0,1,1276,1
447,297.5,308.6,1452,39.0,72,0,1,1277,1
448,297.6,308.7,1376,59.9,74,0,2,7128,1
449,297.5,308.6,1552,44.9,77,0,1,1278,1
450,297.6,308.7,1622,37.9,79,0,1,1279,1
451,297.6,308.7,1419,41.7,81,0,2,7129,1
452,297.5,308.6,1440,46.1,84,0,0,47,1
453,297.4,308.6,1643,31.0,89,0,2,7130,1
454,297.4,308.7,1510,36.2,92,0,1,1280,1
455,297.4,308.7,1468,46.6,94,0,1,1281,1
456,297.4,308.7,1429,57.4,96,0,1,1282,1
457,297.3,308.7,1478,47.6,98,0,0,48,1
458,297.4,308.6,1276,53.6,103,0,1,1283,1
459,297.3,308.6,1486,42.6,105,0,1,1284,1
460,297.4,308.6,1476,42.3,107,0,1,1285,1
461,297.3,308.6,1431,42.0,109,0,0,49,1
462,297.4,308.7,1402,40.2,114,0,1,1286,1
463,297.4,308.7,1433,43.4,116,0,1,1287,1
464,297.4,308.7,2874,4.2,118,1,1,1288,3
465,297.3,308.6,1511,35.7,120,0,1,1289,1
466,297.3,308.6,1456,42.9,122,0,2,7131,1
467,297.2,308.5,1550,41.5,125,0,1,1290,1
468,297.2,308.5,2182,16.5,127,0,1,1291,1
469,297.3,308.7,1619,31.6,129,0,1,1292,1
470,297.3,308.8,1586,32.7,131,0,2,7132,1
471,297.3,308.8,1499,44.2,134,0,0,50,1
472,297.3,308.8,1419,42.4,139,0,0,51,1
473,297.4,309.0,1497,41.8,144,0,2,7133,1
474,297.4,309.0,1520,37.0,147,0,2,7134,1
475,297.4,309.1,1478,49.8,150,0,1,1293,1
476,297.4,309.1,1380,41.1,152,0,1,1294,1
477,297.4,309.0,1570,37.9,154,0,1,1295,1
478,297.4,309.0,1468,41.4,156,0,0,52,1
479,297.4,309.0,1833,22.6,161,0,1,1296,1
480,297.4,308.9,1323,57.3,163,0,2,7135,1
481,297.4,309.0,1583,32.0,166,0,1,1297,1
482,297.3,309.0,1556,39.5,168,0,2,7136,1
483,297.3,309.0,1548,37.4,171,0,1,1298,1
484,297.4,309.0,1324,56.9,173,0,1,1299,1
485,297.4,309.0,1568,33.7,175,0,1,1300,1
486,297.4,309.0,1685,30.7,177,0,2,7137,1
487,297.4,309.1,1582,35.9,180,0,2,7138,1
488,297.4,309.1,1463,35.0,183,0,2,7139,1
489,297.4,309.2,1584,42.8,186,0,1,1301,1
490,297.5,309.2,1347,55.8,188,0,2,7140,1
491,297.4,309.2,1459,37.9,191,0,1,1302,1
492,297.4,309.2,1420,45.6,193,0,1,1303,1
493,297.5,309.3,1404,43.5,195,0,1,1304,1
494,297.5,309.3,1470,38.8,197,0,1,1305,1
495,297.6,309.4,1326,49.8,199,0,1,1306,1
496,297.5,309.3,1459,49.7,201,0,0,53,1
