UDI,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Target,Type_encoded,Product_ID_encoded,Failure_Type_encoded
44,299.81864080415755,309.251782752874,1713,42.532903843627366,48,1,1,7005,0
45,298.51755996320003,309.7719554964724,1420,46.971183488850684,20,0,1,7004,0
46,299.32504456870794,309.23172637636463,1481,36.73218802167273,65,1,2,7004,1
47,298.6234221521788,308.4659189495073,1468,49.67175858827735,62,0,1,1003,0
48,299.04013604235564,308.0488015631131,1530,49.64180149253122,27,1,2,1007,0
49,299.09342055868655,309.74019774780186,1486,42.59628933431589,16,1,1,7003,1
50,298.3697089110511,308.04253882170076,1617,55.328387051817984,5,1,1,1008,0
51,299.9391692555291,309.7494033453684,1704,31.515406013354294,18,0,2,1007,0
52,299.5502656467222,309.05787426805443,1770,28.47453461690827,55,0,2,7004,1
53,299.87899788312836,309.8781353970258,1744,49.56442992919869,27,1,1,1005,1
54,299.7896547008553,309.59756647154734,1740,50.60035504621671,65,0,1,1008,1
55,299.19579995762217,309.9958682210667,1783,31.365802415376134,37,1,1,1007,1
56,299.84374847004625,308.70142363090343,1795,35.43631932284097,36,0,2,7004,1
57,298.1769850041038,309.53437657786225,1560,28.49146617426561,67,1,2,1006,1
58,298.3919657248383,308.8038618272185,1577,36.21264110185581,48,0,1,7004,1
59,298.09045457782105,308.95975124060783,1516,49.6479724697228,42,1,1,1004,0
60,298.6506606615265,309.25501092643674,1595,42.502894775952214,35,1,2,7005,0
61,298.77735457937894,309.74735422837267,1782,37.746676608712065,57,1,1,7005,1
62,298.5426980635478,309.9681669383986,1726,38.40870025737725,12,1,2,1008,0
63,299.65747501830384,309.536546827729,1485,28.03790152003311,51,0,2,1006,0
64,298.7135066533872,308.83553356433464,1688,36.394414771826604,57,1,2,1006,1
65,298.56186901937474,308.8427140045541,1480,46.10084476586205,31,0,2,1008,0
66,299.0853921663165,309.4751646031778,1551,55.277444426858,59,0,2,1007,1
67,298.2818484499495,308.4775542915366,1460,51.71770315554919,57,1,2,1008,0
68,299.6043939615081,308.2209482262628,1460,28.660659010074816,55,0,1,7003,1
69,298.14910128735954,308.7092443152816,1753,53.1596969308955,27,0,2,7003,0
70,299.973773873201,308.57447798330816,1427,49.92955557236152,0,0,2,7005,0
71,299.5444895385933,308.592616240912,1442,49.85053145998745,41,1,1,7004,0
72,298.39743136306834,308.4672155020998,1568,40.8238812521,47,0,2,1008,1
73,298.0110442342472,308.08418637927275,1485,39.14414820272608,39,0,1,1008,0
74,299.63092285690965,308.03574786946683,1576,36.481640407329394,62,1,2,1007,0
75,299.41371468769523,309.97544477947207,1416,29.83945605072224,3,1,1,1003,1
76,299.458014336082,308.8555462674717,1497,34.390590177823576,37,0,1,7005,1
77,299.5425406933719,308.76865329431934,1597,34.90490177938469,26,1,2,7005,0
78,298.14808930346817,309.35929456538616,1497,41.55415795188564,8,0,2,7005,0
79,298.71693145708855,308.43650777573015,1464,48.928443384707435,15,0,2,7004,0
80,298.23173811905025,309.89992236790044,1729,41.266675195142504,55,0,2,1005,0
81,299.7262068517512,309.5726900288311,1740,29.619644584520497,30,1,1,1003,1
82,299.2465962536551,308.1788220046245,1404,54.81811442766971,13,0,1,7004,0
83,298.6617960497053,308.83516155156985,1401,54.39628093463514,24,1,1,7003,0
84,298.12711670057206,309.7582366151243,1421,49.98530720815543,33,1,2,1007,1
85,298.62196464343134,309.88946404458284,1511,55.75718124379817,66,0,1,7003,0
86,298.6503666440535,308.93480302249975,1456,43.24550531840736,23,1,2,1006,0
87,299.4592123566761,309.2268227784214,1465,54.95751380708977,25,1,2,7005,0
88,299.27511494271045,308.3340678921841,1729,30.116941137269023,19,1,1,1004,1
89,299.7744254851527,309.98233725227396,1497,38.23906095131839,63,1,2,7005,1
90,298.9444298503239,308.4633434027669,1543,34.31067550418945,9,1,1,7005,0
91,298.2391884918766,309.88546354827025,1767,33.48332635575956,66,0,2,1007,0
92,299.426489574446,309.2992932979847,1524,31.94248256899493,23,1,1,1003,1
93,299.5215700972338,309.2154735897577,1566,45.427581963847906,4,0,2,7003,0
94,299.122554395139,309.025377022033,1485,49.87701196092454,66,0,1,1006,0
95,299.54193435990913,308.4613396234355,1475,44.1923551837701,57,0,1,7005,1
96,298.98759119272876,308.353056064011,1743,32.11495586846987,26,0,2,1008,1
97,299.045465658764,308.44097241814035,1693,50.711465558137185,14,0,2,1005,1
98,298.8550820367171,308.37287652428853,1458,45.8067318005844,34,0,1,1008,0
99,298.05083825348817,309.5591689471335,1537,38.86863977155588,52,1,2,1008,0
100,298.2157828539866,308.70025051833346,1498,46.875648275009766,43,1,2,1007,0
101,298.06285837137347,308.11568535312676,1591,35.27733941879932,25,1,2,1004,0
102,299.27282082252754,309.9382052602816,1642,37.6653818378379,46,0,1,1004,1
103,298.62871196215264,309.76757176992686,1718,53.68960360769573,33,1,1,7003,0
104,299.0171413823294,309.85550456639044,1448,36.13412615879977,49,1,2,1004,0
105,299.8151329478522,309.9898156452929,1431,41.15967150842222,11,1,2,1008,1
106,298.4985844582977,308.347790498439,1790,52.92395184708841,3,0,1,1007,1
107,298.82076584607125,308.7924840378053,1676,47.81619780749077,47,1,2,1006,0
108,299.5111022770861,309.5164769514082,1419,29.741690332611675,54,0,1,7003,1
109,298.4575963309832,309.39204123610756,1553,32.12448523981117,0,1,2,7004,1
110,298.1539598196576,308.30779181267974,1782,28.21956454161367,65,0,2,1006,0
111,298.57950290582755,309.6316662499812,1467,45.665810126416574,29,0,2,1003,0
112,298.322442574508,308.4488811436733,1765,40.53485591149171,2,0,1,1003,0
113,299.85939530468517,308.44763522964524,1771,31.759695825263716,20,1,1,1003,0
114,299.61624075912886,309.07394884578684,1613,54.82215538958957,48,1,1,1003,1
115,299.26680751302086,309.1858798696834,1542,42.83047227047736,61,0,1,1007,1
116,299.74292118037545,309.1601724156756,1775,34.7730122351609,37,1,2,1006,0
117,299.60734415379824,308.1829736747955,1631,42.016899992331815,14,0,2,7005,0
118,298.3731401177721,309.7549217252608,1612,47.029369316583015,51,0,1,1005,1
119,299.78511799698,308.53120008517743,1478,30.134698103259804,45,1,2,7003,0
120,299.0786844838313,308.2590298425656,1613,35.69170682134097,24,1,2,7004,0
121,299.61488031032815,309.77749615973795,1515,50.59503374475182,20,1,1,1008,0
122,299.79218259984697,309.9113029964595,1491,40.870616371274515,4,0,2,1003,0
123,298.63600694994375,309.7242552345309,1669,43.30415997690426,69,0,2,7004,1
124,298.22010384905536,309.61903214944977,1780,40.11884806186514,46,1,1,1005,0
125,298.4558703250839,309.31048396127807,1567,29.229198394004143,67,0,2,7004,1
126,298.8542155772525,309.1017147412183,1457,32.64099383496436,17,1,2,1006,0
127,299.636029531845,308.1739735198228,1683,40.47516588477295,20,0,2,7004,0
128,299.7214611665127,308.8169064261414,1425,33.85719303142198,22,1,1,1003,1
129,298.0139042610624,308.7453770340246,1768,29.399412802471005,63,1,1,1005,0
130,299.0214946051551,308.51950756752063,1465,51.622190593451066,66,0,2,1008,1
131,298.83482200629754,309.44684022737715,1647,55.47339081659524,39,1,2,7005,0
132,298.44421562094146,308.99175147015757,1653,50.208000471908704,9,1,2,1004,0
133,298.2397307346674,308.16209243181527,1786,51.90597780773068,51,0,1,1003,0
134,298.67523034280725,308.44036640389965,1443,34.77535964887727,60,1,1,1005,0
135,299.885819407825,309.3665175273192,1496,54.8975553143696,63,0,1,1006,0
136,298.6464058640415,308.1522617189806,1441,33.513919724695995,4,1,2,1007,1
137,299.0375812434867,309.7024138280975,1626,54.6400346901313,52,0,2,1005,1
138,299.40603791779034,308.990293054028,1661,55.854940231046626,54,1,2,1004,0
139,298.7272592047586,308.9611731546533,1566,47.92823856088937,36,1,2,1004,0
140,299.9435641654419,309.184815569319,1678,55.47202449017101,55,1,2,7003,1
141,299.9248945898842,309.6493619318503,1488,43.9471138278789,58,1,1,7005,1
142,298.50356459165073,308.6956184158044,1778,35.26716992893053,68,0,2,1004,0
143,298.99449701178474,309.3560323051181,1577,40.235884798637386,58,0,2,7003,0
144,298.60175661963353,309.1314639279916,1596,44.61970619060601,1,0,2,7003,1
145,298.56968098875495,308.53405654033884,1706,30.04628373675642,64,0,1,7003,0
146,298.07377389470906,309.7572599727103,1666,45.425611409282894,59,0,2,1005,1
147,299.2191286679598,309.59485204321385,1667,55.47297942934425,50,0,1,7003,0
148,299.00535804645773,309.31690366931684,1473,33.323014193944374,29,0,1,1003,1
149,298.1029575025,309.7011634581885,1407,50.19266325607473,10,1,1,1003,1
150,298.5572929284732,309.7345884019196,1696,53.42116622582934,38,1,1,1007,0
151,299.8165317719333,309.41672595343005,1563,54.423644598966185,62,1,1,1004,1
152,298.47912378133395,309.67402665672734,1484,54.88379692335252,63,1,2,7005,0
153,298.2897897441824,309.3949429233386,1471,42.60086988420122,60,0,2,7003,0
154,298.97890552055514,309.3602815435206,1454,55.3646214237621,53,0,1,1006,0
155,299.9713009082212,309.23722275643036,1792,49.20468579976429,57,0,1,1006,0
156,298.484110543023,309.50543327911527,1446,32.52680021463493,55,1,1,1004,1
157,299.34427109481175,308.31721021058615,1798,41.35320298110316,33,0,2,1007,0
158,299.52323923065745,309.76174151839786,1637,48.113272910416114,30,1,2,1006,0
159,298.4752750879848,309.74368705549045,1503,34.925528842934334,51,0,1,1003,0
160,299.4564326972237,308.0584945660691,1609,45.93722513936885,0,0,2,7004,0
161,298.7355662654385,309.65163350112954,1441,46.66481341330534,54,0,2,1005,1
162,299.26461166118713,308.2577397349469,1715,32.555592826639845,21,0,1,1008,0
163,299.26705942152176,308.6702377085183,1667,43.82238874867718,39,1,1,1006,1
164,299.07154936814953,309.48701651258324,1785,49.60555350740101,0,1,2,7005,1
165,298.1805795401088,308.32151979209664,1662,41.969078607006374,64,0,2,7003,1
166,299.6706049911785,309.63593404823814,1735,28.338887269731007,62,1,2,7005,0
167,298.64156012994346,309.6642683559155,1786,28.25307713422018,53,0,1,1005,0
168,298.3730370207997,309.0149354675217,1764,37.996821631160344,41,0,1,1003,0
169,298.08155028310955,308.0127717434337,1658,53.933433916089896,20,0,1,1007,0
170,299.1817858863765,308.57407626634983,1682,34.40294982890104,21,0,2,1005,1
171,299.3551287236846,309.2338538367515,1513,45.76218328840724,37,1,2,1008,1
172,298.03317565785574,309.96237235605486,1762,34.21812437941298,7,0,1,7004,0
173,299.02418611659857,309.26362705403335,1439,37.006759710467364,61,0,2,1006,0
174,298.4529915503959,308.5196071621283,1619,51.74517850884155,46,1,1,1007,0
175,299.2903455808189,309.2680114061992,1528,48.40812038355851,16,0,2,1007,0
176,298.34873285801,309.0799707594317,1407,30.671179764769896,16,1,1,1006,0
177,299.3818754762049,309.5596907903023,1500,40.00365658762014,12,0,2,1006,0
178,298.77347069260105,308.21396127765394,1779,28.816753382067404,16,0,2,1006,0
179,299.8734599774735,309.5220558050041,1575,41.464924104884254,37,0,1,1006,1
180,298.275041888292,309.0825331573522,1506,46.54815232762991,44,0,1,1006,1
181,298.6821327021005,309.925984007718,1500,31.318073460748245,5,0,1,1007,1
182,298.2269470424812,308.68374433207737,1659,36.08877828945664,34,0,1,1004,1
183,299.8493872365571,309.2652437862679,1765,39.13942551406039,13,1,1,1004,0
184,299.754678706762,309.86405621102006,1645,53.746868690369396,60,0,2,7005,0
185,298.5158832554303,308.20501945598136,1674,55.81114043184299,14,1,1,1004,0
186,299.31996809206834,309.8744569744729,1431,29.257516371877244,53,1,1,1008,0
187,299.63444440040246,309.37577144460164,1536,49.308221857870976,26,0,1,1004,0
188,299.1104016231989,308.1356741182103,1411,38.40827385926561,12,1,1,1007,1
189,299.059301156712,308.60192713389364,1794,38.98882921442544,30,0,1,1006,0
190,298.4837045818009,309.41634417729057,1701,49.119419253716636,34,1,2,7003,1
191,298.1862055356118,308.13470120293755,1774,53.71594010007144,59,0,1,7003,0
192,299.79443151590664,309.1643409203526,1415,54.626000646071354,5,1,1,1008,1
193,299.80083611432667,308.69176611390594,1528,44.15943240907298,68,1,1,1007,0
194,299.2662029145465,309.241831035535,1462,37.99939246041408,57,0,2,1003,1
195,298.6780595820974,308.091484067625,1508,50.051374404045816,48,1,2,1005,0
196,298.69841914922534,309.7430736123047,1774,35.02803873134441,22,0,1,7005,0
197,299.45191135774047,309.9469779383548,1420,43.794072807338495,33,0,1,1003,0
198,299.79422051990514,309.93775571057137,1557,38.04019692269645,25,0,2,1007,0
199,299.7741728485302,309.4993036634859,1668,46.38567006382053,46,0,2,1004,1
200,299.55975109171527,308.26017248026125,1561,34.73116956101819,4,0,2,1006,0
201,299.2840632923086,309.51652639185806,1659,33.36460248057512,19,1,1,1003,1
202,298.1682799299901,308.04917383291763,1501,53.71069442691224,5,1,1,1005,0
203,298.3232574281892,308.044247103058,1622,30.850503122587032,69,1,2,7003,1
204,299.79710837705414,308.6472204382991,1458,42.16682141657809,58,0,1,1005,0
205,299.2128581193192,308.97728638080935,1646,34.18387792296425,63,1,2,1006,0
206,298.0183941032333,309.5408148356156,1527,29.090038973118688,17,1,2,1004,1
207,298.20294308573204,309.366590753213,1682,29.00852691215994,3,1,2,1005,0
208,299.3270035382161,308.8918054127535,1724,32.90620961896317,16,1,1,7005,0
209,298.0101231676924,308.54725333256334,1424,52.269569926168,13,1,2,1005,1
210,298.321616102835,309.99424900031545,1530,35.909404831356746,12,0,2,1007,0
211,299.0974675787332,308.8523626044719,1752,54.61285677610828,6,0,1,1004,1
212,299.3837903953854,308.90277404865935,1595,44.28542420369742,43,1,2,1006,0
213,299.3039225190052,308.3272476423833,1680,40.22519731352545,14,0,1,7003,1
214,298.44853861892113,309.58961909749985,1553,44.242487370744726,18,0,2,7003,1
215,299.42435844269505,309.387364451563,1781,42.4675547863355,62,1,1,1005,1
216,298.4744981749936,308.4415392255775,1532,49.2457351052051,34,1,2,1007,1
217,298.6507993963185,308.1647620912317,1626,35.90988984723987,34,0,2,1003,0
218,299.4929828102361,309.3609986041494,1588,37.885410964808464,18,1,2,1003,0
219,299.29926579809444,309.3090224285623,1664,53.03464047093102,19,0,2,1007,1
220,299.69844682098835,308.5465190539964,1771,54.500782368211354,34,0,2,7005,0
221,299.31522578460067,309.90172712450084,1533,52.99163036962129,31,1,1,1003,0
222,299.13661720667096,308.3021157835618,1610,39.74454383080478,47,0,1,1003,0
223,298.1873495356562,308.8646696020852,1459,49.850234084192685,43,0,2,1006,1
224,298.7354316061189,309.8872318403352,1776,41.33740053243076,23,0,2,1006,0
225,298.53040473536345,308.83945463385226,1794,41.93111586009086,60,1,2,1004,0
226,298.48797928675816,309.27705189532816,1763,33.731043053603955,16,1,1,7005,1
227,299.9460211095049,308.7951887959256,1763,44.55164849123846,49,1,1,7005,0
228,298.78619544933355,308.54843040469734,1612,33.21180513709374,64,1,2,1004,1
229,299.7840931103542,309.96795529591964,1615,37.28381157388142,31,0,1,7005,1
230,299.26227725199453,308.8186680126301,1625,51.94084564535818,35,1,2,1008,1
231,299.5896226070833,309.78819840735827,1530,33.798122657903946,12,1,2,7004,0
232,299.0052741862104,308.4599092117822,1475,29.99243198485612,69,1,2,1006,0
233,299.1538077692527,308.42620940805017,1685,29.932212593158855,57,1,1,1004,1
234,298.9850353876377,308.062268165769,1676,54.341966574087024,13,0,2,1004,1
235,298.3904859755961,309.30333365075177,1555,42.19377226293137,36,0,2,7005,1
236,299.44490423052304,308.73705268744754,1647,39.46353801087651,67,0,2,1003,1
237,298.5615447248817,309.72871649967925,1617,50.70460026822172,39,1,1,7003,1
238,298.0486319328629,308.9464198133831,1589,51.40312598149445,58,1,1,1005,1
239,299.2909445918143,309.9363868558294,1562,37.30134892723693,15,0,1,1005,0
240,298.3542213588141,308.37105103140624,1579,47.42130560926627,61,1,2,1004,1
241,299.8809171687058,309.7372463359112,1433,49.59143884385283,3,1,1,1008,1
242,299.90785715400517,309.5531937055835,1440,46.330219232246726,44,0,2,1004,1
243,299.8297287804409,309.5418436892881,1706,32.244662094402784,27,0,1,1006,0
244,298.7403174005109,309.68956645623376,1737,52.52472633847759,65,1,2,7005,0
245,298.03091323305773,309.522047981886,1713,43.094647476608245,30,1,1,7005,0
246,299.85663712517544,309.25244064326284,1474,35.909227938360104,2,1,2,1008,0
247,298.8563682966346,308.26248975536475,1678,39.90638919225543,7,0,1,1006,1
248,299.93330963808734,308.0650523589825,1575,29.051990531169405,23,0,1,7003,0
249,299.9272399541785,309.84169569563136,1783,31.580270434227693,14,0,1,1003,1
250,299.70601891093474,309.2333006290415,1549,49.4353090144441,42,0,2,1006,1
251,298.5888977841392,309.59307458195235,1672,28.00032577315025,30,1,1,1007,1
252,298.77019545720384,308.9630447030251,1724,39.66384319750418,44,0,1,7004,1
253,299.7022733430337,308.2346163779248,1507,42.630285070396475,65,0,1,1004,1
254,298.63384401031254,308.2503715844051,1538,29.529763760027222,7,1,1,1007,1
255,298.3389854933722,309.37113057445794,1749,55.24618856322532,56,1,2,1008,0
256,299.1136025249167,308.86061178979895,1670,34.331509274990815,29,1,1,1007,0
257,299.87230954832154,308.4010494534007,1746,36.51756414981587,17,0,2,7005,0
258,299.3920595933499,308.98318909348285,1688,36.51039034314076,68,1,2,1003,0
259,299.1401223401787,308.1284178741503,1611,34.451666539285796,38,1,2,1005,0
260,298.19435298754155,309.1639428038288,1780,28.04126701841672,59,0,2,1004,1
261,299.2300144533983,308.5379868088702,1671,48.4216542344639,42,0,1,1005,0
262,299.9801077002085,309.5951182012744,1465,55.07167399437999,44,1,2,7005,0
263,298.280168030473,308.62072391784716,1647,34.280217531981265,22,0,2,7005,0
264,299.0366593047275,308.9104402981636,1555,46.56532137049582,68,1,2,1004,1
265,299.7547461438559,308.0232410798162,1446,48.773097154844024,5,1,2,1005,1
266,299.4815372355084,308.14489377558914,1600,51.75591061453469,55,0,1,1006,1
267,299.3940314819905,308.7849871128134,1547,39.833617516381054,3,1,1,7005,0
268,299.40496816797423,308.95987766943426,1523,36.482065357932015,22,0,2,1005,0
269,298.7189823024395,309.20004109623864,1400,37.10826375264487,5,0,2,7003,0
270,298.58718368852897,308.5833251574186,1646,47.95339732675836,31,0,2,1005,0
271,299.618722310957,309.3899637722531,1742,50.86982506215781,17,1,1,7003,0
272,299.62022678935836,309.7202447943784,1527,33.085191097184875,14,0,1,7003,1
273,299.7341446371602,309.5597019777867,1590,38.386348228417425,39,0,1,7005,0
274,299.8264811051129,308.0792376506967,1466,53.2543255089762,5,1,1,1004,1
275,299.02268479772187,308.96101389451565,1403,50.5874185514527,62,1,1,1008,0
276,299.0030325893744,308.2098603568364,1702,55.57603527734932,66,1,2,7005,1
277,299.59659035793356,308.48409003172503,1693,49.11895127109826,10,1,1,1004,1
278,299.29992786155555,309.9733251865343,1542,39.009465628781825,42,0,1,1004,1
279,299.4039337545154,308.28499108580303,1590,44.53785935184986,16,0,2,1007,1
280,299.5915853388722,308.9977763069027,1420,46.50839911892497,3,0,1,7004,0
281,299.7800106836351,309.23631146863625,1626,30.19676285687947,62,1,1,7005,0
282,298.6759903137031,309.4049299410882,1712,43.24591485490822,67,1,1,1004,0
283,298.7511659052799,309.11929736697385,1516,47.86098319723307,40,0,2,1007,1
284,298.1879638796817,308.0195416948384,1701,32.68499651202969,4,1,1,7003,0
285,299.15656028199237,308.65292261648796,1541,49.857688087915605,31,1,2,1008,0
286,298.07188454759347,309.0354232867694,1438,44.34563785439512,69,0,2,1008,0
287,298.9311960362649,308.1757329982897,1792,54.66220999953265,34,0,1,7003,0
288,299.08528926941517,308.70125386241835,1754,29.18782434979297,21,1,1,1005,1
289,298.57308250425655,308.0664062175827,1651,35.42913185155307,64,1,1,1005,1
290,299.181666521138,308.15715699431,1732,44.84350862039507,21,1,1,7005,0
291,298.0610004998781,308.7938465524032,1606,36.30367754176606,10,0,2,7004,0
292,298.0746963774984,308.2654315080861,1609,48.00387659399478,2,0,1,1007,0
293,299.6452011213193,309.1350816965231,1514,49.25214791061407,8,0,2,1008,1
294,298.72038128282253,309.37892993827455,1624,30.870446993861286,59,0,2,1003,1
295,298.2541210253038,309.6011733982182,1533,42.3879249977895,13,0,2,1003,1
296,299.0444865201096,308.4003004884896,1650,42.24893555654957,17,1,2,1006,0
297,299.5399871061972,308.33496516451817,1618,38.339861566035154,22,1,2,1004,1
298,298.4316420549937,308.2091356806688,1490,54.12189615195082,46,1,1,7003,1
299,299.245780951638,309.2728604990873,1753,51.17017695645019,68,0,2,1004,1
300,298.1706949299875,309.4129514529738,1775,47.52186269346983,46,0,2,1004,1
301,298.10336344233724,308.0631722896513,1445,48.001145800579934,29,0,1,1007,1
302,299.0627092631363,309.87242449248737,1437,40.92805202676733,24,1,1,1006,0
303,299.0812702432202,308.10394256730297,1541,53.78784659070412,27,0,2,7004,0
304,299.2748598029964,309.08259267060214,1499,47.44867196309199,24,0,2,1006,0
305,299.4521826674453,309.41812103890186,1727,48.41146972636286,57,1,1,1008,0
306,299.95170415892505,309.74193824749216,1589,52.12734530604567,40,0,2,1007,1
307,299.0326006966024,309.42817386426486,1434,35.67400450158135,24,1,1,1004,0
308,298.6459129458825,309.6034561661396,1546,50.59798530826768,47,0,1,7004,0
309,299.59037238953744,308.6789003850856,1429,33.466736882781774,9,0,2,1004,0
310,298.54166450252416,309.629650227493,1733,37.66957466285686,10,1,1,7005,1
311,298.87794284141125,308.16022969276935,1483,37.397092719555594,20,1,2,7005,0
312,298.15691276268456,309.78963331212105,1768,55.39871311489594,44,1,2,1005,1
313,298.0507014868309,309.0951847523075,1680,51.98304226494195,6,1,2,1006,1
314,299.92529682935583,309.634595539925,1743,47.632756124527276,63,1,1,7004,1
315,299.6719602410244,308.9046365690366,1669,48.35758932523092,63,1,2,7005,0
316,299.3919484121874,309.287155390393,1553,43.73803824327199,1,0,1,1005,1
317,298.81790588882853,309.0528053218722,1501,54.518538679038535,41,0,2,1007,0
318,298.3465886401417,309.46317904351065,1614,41.895245080706125,53,1,2,7004,0
319,298.3128740853422,308.1632599640612,1549,38.654495876357046,15,0,1,1005,0
320,298.5004857963292,308.1207041679811,1482,32.56498943408455,17,1,2,7003,1
321,299.0984533294122,308.4942064680203,1509,50.013758263309626,58,0,2,7004,1
322,299.4291918454001,308.31908936022637,1786,48.56443009811656,15,1,1,1005,0
323,299.32039475343544,309.7435671331844,1674,38.761941078675775,5,0,1,1004,1
324,298.5598677938919,308.4384279747161,1600,28.705415590858422,56,0,1,7003,1
325,299.9097305613264,309.9517305116383,1683,51.4919251761043,46,0,2,7005,1
326,299.47579383339155,308.6737915835422,1572,28.319703536714062,47,0,1,1003,0
327,299.1087081050228,308.3642358313774,1726,47.703593829613425,41,0,1,1005,1
328,299.2234414924687,309.57939701428495,1605,55.167199072329595,59,1,2,1007,1
329,298.83920012485555,309.3174155510018,1462,40.2545171881497,3,1,1,1005,0
330,298.4954619790023,308.99639143290625,1472,34.57925533988668,1,1,2,1003,1
331,298.7119453573025,309.1107271018753,1650,47.73638828121469,58,0,2,7003,0
332,299.5156922209287,309.43840355654453,1523,50.87958797643638,26,1,1,7003,1
333,298.02878697725953,308.4569094826626,1774,43.30004885017972,26,0,2,7004,1
334,298.23214528101386,309.9926678321135,1520,55.076987707172094,6,0,1,1007,1
335,298.0920052840435,309.9495863242936,1674,29.44672420642291,62,0,1,1007,1
336,298.08145760463793,309.3006513726939,1797,42.13427675252679,45,1,1,1007,1
337,299.710921168022,308.3990849018583,1519,48.1167105250314,62,0,1,1003,1
338,299.40731571876006,309.3604564848626,1716,52.15393319217701,11,1,2,1007,0
339,298.94834765817467,308.14439681795835,1563,33.01915713341812,12,1,2,1008,1
340,298.195668321302,308.0613050044116,1685,50.40009748938308,42,0,1,1003,1
341,298.98323175023364,308.51536577702245,1664,43.475798120119265,16,0,1,7003,1
342,298.94694354156115,308.92524591347865,1719,39.10350309571897,62,1,2,1003,0
343,298.34640373982,309.73654501081677,1560,31.68802080021462,35,1,1,1004,0
344,298.86770329847593,309.45433813953264,1775,52.22828124944955,7,1,2,1004,0
345,298.7970094687947,309.48541304239995,1707,32.403649829032034,68,1,1,1007,1
346,299.23170019610444,308.85098666889616,1488,36.674060057854774,35,1,2,7003,1
347,299.2701873017353,308.69186998509394,1541,36.12127489494823,27,1,2,1003,0
